k,Nk,tk,dk,lk,etak,bk,gamk,epsk,ref
1,0.924803575275,0.25,1.0,0.0,,,,,2
2,20492448489428,0.875,1.0,0.0,,,,,2
3,0.661883336938,0.5,2.0,0.0,,,,,2
4,-1.92902649201,0.875,2.0,0.0,,,,,2
5,-0.0622469309629,0.375,3.0,0.0,,,,,2
6,0.349943957581,0.75,3.0,0.0,,,,,2
7,0.564857472498,0.5,1.0,1.0,,,,,2
8,-1.61720005987,0.75,1.0,1.0,,,,,2
9,-0.481395031883,2.0,1.0,1.0,,,,,2
10,0.421150636384,1.25,3.0,1.0,,,,,2
11,-0.0161962230825,3.5,3.0,1.0,,,,,2
12,0.172100994165,1.0,4.0,1.0,,,,,2
13,0.00735448924933,0.5,6.0,1.0,,,,,2
14,0.0168077305479,3.0,6.0,1.0,,,,,2
15,-0.00107626664179,0.0,7.0,1.0,,,,,2
16,-0.0137318088513,2.75,7.0,1.0,,,,,2
17,0.000635466899859,0.75,8.0,1.0,,,,,2
18,0.00304432279419,2.5,8.0,1.0,,,,,2
19,-0.0435762336045,4.0,1.0,2.0,,,,,2
20,-0.0723174889316,6.0,2.0,2.0,,,,,2
21,0.0389644315272,6.0,3.0,2.0,,,,,2
22,-0.0212201363910,3.0,4.0,2.0,,,,,2
23,0.00408822981509,3.0,5.0,2.0,,,,,2
24,-0.0000551990017984,6.0,8.0,2.0,,,,,2
25,-0.0462016716479,16.0,4.0,3.0,,,,,2
26,-0.00300311716011,11.0,5.0,3.0,,,,,2
27,0.0368825891208,15.0,5.0,3.0,,,,,2
28,-0.00255856846220,12.0,8.0,3.0,,,,,2
29,0.00896915264558,12.0,3.0,4.0,,,,,2
30,-0.00441513370350,7.0,5.0,4.0,,,,,2
31,0.00133722924858,4.0,6.0,4.0,,,,,2
32,0.000264832491957,16.0,9.0,4.0,,,,,2
33,19.6688194015,0.0,1.0,2.0,20.0,325.0,1.16,1.0,2
34,-20.9115600730,1.0,1.0,2.0,20.0,325.0,1.16,1.0,2
35,0.0167788306989,2.0,3.0,2.0,15.0,300.0,1.13,1.0,2
36,2627.67566274,3.0,2.0,2.0,25.0,275.0,1.25,1.0,2
